2026-02-16 17:05:40 | INFO     | Etl_Covid | ✅ Conexión a la base de datos exitosa
2026-02-16 17:05:56 | INFO     | Etl_Covid | ✅ Datos extraidos
2026-02-16 17:05:58 | INFO     | Etl_Covid | ✅ Datos transformados
2026-02-16 17:05:58 | INFO     | Etl_Covid | 9527 registros a cargar
2026-02-16 17:18:11 | INFO     | Etl_Covid | 🚀 Iniciando el proceso ETL de COVID-19...
2026-02-16 17:18:11 | INFO     | Etl_Covid | 🔌 Conectando a la base de datos...
2026-02-16 17:18:11 | INFO     | Etl_Covid | ✅ Conexión a la base de datos exitosa
2026-02-16 17:18:26 | INFO     | Etl_Covid | ✅ Datos extraidos
2026-02-16 17:18:29 | INFO     | Etl_Covid | ✅ Datos transformados
2026-02-16 17:18:29 | INFO     | Etl_Covid | 9527 registros a cargar
2026-02-16 17:18:30 | INFO     | Etl_Covid | ✅ Proceso ETL de COVID-19 finalizado exitosamente
2026-02-23 21:31:11 | INFO     | Etl_Covid | 🚀 Iniciando el proceso ETL de COVID-19...
2026-02-23 21:31:11 | INFO     | Etl_Covid | 🔌 Conectando a la base de datos PostgreSQL...
2026-02-23 21:31:12 | INFO     | Etl_Covid | ✅ Conexión a la base de datos exitosa
2026-02-23 21:31:12 | INFO     | Etl_Covid | 📎 Iniciando proceso de extraccion
2026-02-23 21:31:12 | INFO     | Etl_Covid | ✅ Datos extraidos - Conexion Engine(postgresql+psycopg2://postgres:***@localhost:5432/postgres)
2026-02-23 21:31:12 | INFO     | Etl_Covid | 📌 Finalizando del proceso de extraccion
2026-02-23 21:31:12 | INFO     | Etl_Covid | 📎 Iniciando proceso de transformacion
2026-02-23 21:31:12 | INFO     | Etl_Covid | ✅ Datos transformados
2026-02-23 21:31:12 | INFO     | Etl_Covid | 📌 Finalizando proceso de transformacion
2026-02-23 21:31:12 | INFO     | Etl_Covid | 🔌 Conectando a la base de datos MySql...
2026-02-23 21:31:13 | INFO     | Etl_Covid | ✅ Conexión a la base de datos exitosa
2026-02-23 21:31:13 | INFO     | Etl_Covid | 📎 Iniciando proceso de carga
2026-02-23 21:31:13 | INFO     | Etl_Covid | 8 registros a cargar
2026-02-23 21:31:15 | INFO     | Etl_Covid | ✅ Proceso ETL de COVID-19 finalizado exitosamente
2026-02-23 21:35:41 | INFO     | Etl_Covid | 🚀 Iniciando el proceso ETL de COVID-19...
2026-02-23 21:35:41 | INFO     | Etl_Covid | 🔌 Conectando a la base de datos PostgreSQL...
2026-02-23 21:35:41 | INFO     | Etl_Covid | ✅ Conexión a la base de datos exitosa
2026-02-23 21:35:41 | INFO     | Etl_Covid | 📎 Iniciando proceso de extraccion
2026-02-23 21:35:41 | INFO     | Etl_Covid | ✅ Datos extraidos - Conexion Engine(postgresql+psycopg2://postgres:***@localhost:5432/postgres)
2026-02-23 21:35:41 | INFO     | Etl_Covid | 📌 Finalizando del proceso de extraccion
2026-02-23 21:35:41 | INFO     | Etl_Covid | 📎 Iniciando proceso de transformacion
2026-02-23 21:35:41 | INFO     | Etl_Covid | ✅ Datos transformados
2026-02-23 21:35:41 | INFO     | Etl_Covid | 📌 Finalizando proceso de transformacion
2026-02-23 21:35:41 | INFO     | Etl_Covid | 🔌 Conectando a la base de datos MySql...
2026-02-23 21:35:41 | INFO     | Etl_Covid | ✅ Conexión a la base de datos exitosa
2026-02-23 21:35:41 | INFO     | Etl_Covid | 📎 Iniciando proceso de carga
2026-02-23 21:35:41 | INFO     | Etl_Covid | 8 registros a cargar
2026-02-23 21:35:44 | INFO     | Etl_Covid | ✅ Proceso ETL de COVID-19 finalizado exitosamente
2026-02-23 21:44:17 | INFO     | Etl_Covid | 🚀 Iniciando el proceso ETL de COVID-19...
